Pattern,Count,Loss_per_Roll
"940, 889, 830, 750, 700, 660",29,111
"1020, 864, 850, 720, 660, 647",23,119
"1245, 1092, 840, 700, 645",12,358
"750, 730, 720, 711, 700, 660",10,609
"1245, 1000, 915, 864, 813",9,43
"1250, 1219, 940, 750, 720",9,1
"1490, 1245, 1020, 915",7,210
"915, 864, 830, 790, 720, 660",6,101
"1280, 1194, 840, 720, 660",6,186
"1440, 1090, 864, 700, 686",6,100
"1245, 1194, 940, 790, 711",6,0
"1219, 1200, 1194, 1140",5,127
"1300, 1020, 940, 813, 720",5,87
"1245, 1240, 1219, 660",5,516
"940, 930, 920, 864, 660",5,566
"1580, 1092, 780, 700, 660",4,68
"1300, 1245, 864, 720, 640",4,111
"1140, 940, 787, 660, 660, 650",4,43
"950, 864, 840, 750, 660, 650",4,166
"1470, 1219, 780, 700, 660",3,51
"1510, 1350, 1050, 940",3,30
"1092, 1090, 1020, 940, 650",3,88
"915, 889, 860, 787, 750, 650",2,29
"1460, 1440, 1020, 915",2,45
"1350, 1140, 864, 787, 645",2,94
"1460, 1050, 860, 720, 660",2,130
"1140, 1090, 915, 840, 800",2,95
"889, 864, 840, 813, 700, 647",1,127
"940, 915, 800, 700, 686",1,839
"1470, 1440, 1300, 660",1,10
"1510, 1092, 889, 686, 660",1,43
"1300, 1194, 864, 860, 645",1,17
"1194, 1092, 1050, 864, 640",1,40
